name,maker,information,danger,id,score
제놀쿨카타플라스마,녹십자,"다음 질환 및 증상의 진통  소염[항염] : 염좌[삠], 타박, 근육통, 관절통, 골절통, 요[허리]통, 견통[어깨결림]","<제1처방>1. 다음 환자에는 사용하지 마십시오.30 개월 이하의 유아2. 다음 환자에는 신중히 사용하십시오.소아에 적용 시 경련을 유발할 수 있으므로 신중히 사용하십시오.3. 다음 부위에는 사용하지 마십시오.1) 눈 주위, 점막 등2) 습윤[습기 참], 옻 등에 의한 피부염, 상처부위4. 다음 사람은 사용 전에 약사 또는 의사와 상의하십시오.1) 약이나 화장품 등에 의한 알레르기 증상 (발진, 발적[충혈되어 붉어짐], 가려움증, 옻 등에 의한 피부염 등) 이 나타난 적이 있는 사람2) 습윤[습기 참]이나 짓무름이 심한 사람3) 의사의 치료를 받고 있는 사람5. 사용할 때 다음에 주의하십시오.1) 정해진 용법 ·용량을 잘 지키십시오.2) 소아에 사용할 경우에는 보호자의 지도 감독 하에 사용하십시오.3) 이 약은 외용으로만 사용하고 복용하지 마십시오.6. 사용 중 또는 사용 후에는 다음에 주의하십시오.1) 이 약의 사용으로 인해 발진, 발적[충혈되어 붉어짐], 가려움 등의 증상이 나타나는 경우에는 사용을 중지하고 약사 또는 의사와 상의하십시오.2) 수일간 사용하여도 증상이 개선되지 않을 경우에는 사용을 중지하고 약사 또는 의사와 상의하십시오.7. 보존 및 취급상의 주의1) 소아의 손이 닿지 않는 곳에 보존하십시오.2) 직사일광을 피하고 될 수 있는 대로 서늘한 곳에 밀전하여[뚜껑을 꼭 닫아] 보존하십시오.3) 오용[잘못 사용]을 막고 품질을 유지하기 위해 다른 용기에 넣지 마십시오.<제2처방>1. 다음 환자에는 사용하지 마십시오.30 개월 이하의 유아2. 다음 환자에는 신중히 사용하십시오.1) 소아에 적용 시 경련을 유발할 수 있으므로 신중히 사용하십시오.2) 이 약은 프로필렌글리콜을 함유하고 있으므로 이 성분에 과민하거나 알레르기 병력이 있는 환자에는 신중히 투여합니다.3. 다음 부위에는 사용하지 마십시오.1) 눈 주위, 점막 등2) 습윤[습기 참], 옻 등에 의한 피부염, 상처부위4. 다음 사람은 사용 전에 약사 또는 의사와 상의하십시오.1) 약이나 화장품 등에 의한 알레르기 증상 (발진, 발적[충혈되어 붉어짐], 가려움증, 옻 등에 의한 피부염 등) 이 나타난 적이 있는 사람2) 습윤[습기 참]이나 짓무름이 심한 사람3) 의사의 치료를 받고 있는 사람5. 사용할 때 다음에 주의하십시오.1) 정해진 용법 ·용량을 잘 지키십시오.2) 소아에 사용할 경우에는 보호자의 지도 감독 하에 사용하십시오.3) 이 약은 외용으로만 사용하고 복용하지 마십시오.6. 사용 중 또는 사용 후에는 다음에 주의하십시오.1) 이 약의 사용으로 인해 발진, 발적[충혈되어 붉어짐], 가려움 등의 증상이 나타나는 경우에는 사용을 중지하고 약사 또는 의사와 상의하십시오.2) 수일간 사용하여도 증상이 개선되지 않을 경우에는 사용을 중지하고 약사 또는 의사와 상의하십시오.7. 보존 및 취급상의 주의1) 소아의 손이 닿지 않는 곳에 보존하십시오.2) 직사일광을 피하고 될 수 있는 대로 서늘한 곳에 밀전하여[뚜껑을 꼭 닫아] 보존하십시오.3) 오용[잘못 사용]을 막고 품질을 유지하기 위해 다른 용기에 넣지 마십시오.",1,19
녹십자제놀찜카타플라스마,녹십자,"타박, 삠, 어깨결림, 관절통, 근육통, 근육, 피로, 요통, 동상, 골절통",NULL,2,2
씨즈날정,녹십자,"1. 계절성 및 다년성 알레르기성 비염[코염], 알레르기성 결막염, 만성 특발성[원인 불명의] 두드러기, 피부소양증[가려움증]2. 하이드로코티손 외용제와 병용[함께 복용]에 의한 습진, 피부염",NULL,3,11
복합아시텔라연고,녹십자,"네오마이신 감수성 세균에 의해 2차 감염된 코르티코이드 반응성 피부질환의 초기치료 :피부염, 감염된 상처",NULL,4,14
라니타드정,녹십자,"위통, 속쓰림, 소화불량, 구역",NULL,5,5
로시놀크림,녹십자,"[허가사항변경(2015년 재평가), 의약품안전평가과-6848, 2016.12.12.](크림제)1. Trichophyton(T. rubrum, T. mentagrophytes, T. verrucosum, T. violaceum), Microsporum canis 및 Epidermophyton floccosum과 같은 피부사상균에 의한 피부진균감염증 : 족부백선, 고부백선(완선), 체부백선2. Pityrosporum orbiculare (Malassezia furfur)에 의한 어루러기3. 피부칸디다증",NULL,6,25
메가쿨카타플라스마,녹십자,"다음 증상의 진통 · 소염[항염] : 삠, 타박상, 근육통, 관절통, 골절통, 요[허리]통, 어깨결림, 신경통, 류마티스통증",NULL,7,4
녹십자제놀카타플라스마,녹십자,"다음 증상의 진통ㆍ소염 : 삠, 타박상, 근육통, 관절통, 골절통, 요통, 어깨결림, 신경통, 류마티스통증",NULL,8,2
제놀골드플라스타,녹십자,"다음 질환 및 증상의 진통, 소염[항염] : 퇴행성관절염(골관절염), 어깨관절주위염, 건[힘줄], 건초염[힘줄윤활막염], 건[힘줄]주위염, 상완골[위팔뼈]상과염(테니스 엘보우 등), 근육통, 외상[상처]후의 종창[부기], 동통[통증]",NULL,9,6
나우쿨카타플라스마,녹십자,"진통·소염 : 염좌, 타박, 요통, 어깨결림, 근육통, 근육피로, 관절통, 동창, 골절통",NULL,10,2
녹십자제놀마일드핫트카타플라스마,녹십자,"다음 증상의 진통 소염[항염] :삠, 타박상, 근육통, 관절통, 골절통, 요[허리]통, 어깨결림, 신경통, 류마티스통증",NULL,11,2
제놀로오숀플러스,녹십자,"- 다음 증상의 진통ㆍ소염 : 삠, 타박상, 근육통, 관절통, 골절통, 요통, 어깨결림, 신경통, 류마티스통증- 피부가려움, 벌레 물린데- 동창",NULL,12,1
바소콤연질캡슐,대웅제약,"고혈압의 저하 및 예방",NULL,13,1
유락신연고,녹십자,"(연고제) 피부가려움",NULL,14,61
냉감한생고카타플라스마,녹십자,"다음 증상의 진통ㆍ소염 : 삠, 타박상, 근육통, 관절통, 골절통, 요통, 어깨결림, 동창",NULL,15,2
써버쿨액,녹십자,"습진, 피부염, 땀띠, 옻 등에 의한 피부염, 가려움, 벌레물린데, 두드러기",NULL,16,73
조이쿨카타플라스마,녹십자,"다음 증상의 진통ㆍ소염[항염]삠, 타박상, 요[허리]통, 어깨결림, 근육통, 근육피로, 관절통, 동창[언 상처], 골절통",NULL,17,3
우루사정100mg,대웅제약,"○ 다음 질환의 보조 치료 : 담즙(쓸개즙)분비 부전으로 오는 간질환, 담도(쓸개길)(담관(쓸개관), 담낭(쓸개))계 질환○ 만성 간질환의 간기능 개선○ 소장절제 후유증 및 염증성 소장 질환의 소화불량",NULL,18,69000000
베아제정,대웅제약,"[허가사항변경(2014년 재평가), 의약품안전평가과-943, 2016.02.23.](정제)소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감",NULL,19,483
리버골드에프연질캡슐,대웅제약,"다음 질환의 보조치료 : 만성간질환, 독성 간질환",NULL,20,1
뉴란타에이정,대웅제약,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 식체(위체), 구역, 구토, 위통, 신트림",NULL,21,6
대웅스멕타산,대웅제약,"[허가사항변경(2014년 재평가), 의약품안전평가과-2589, 2015.11.17](현탁액)(산제)1. 식도, 위·십이지장과 관련된 통증의 완화2. 급·만성 설사",NULL,22,9
씨콜드코프정,대웅제약,"감기의 제증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화",NULL,23,7
게므론연질캡슐,대웅제약,"비타민 및 무기질의 보급: 허약체질, 영양불량, 소모성질환, 피로, 병중. 병후, 임신.수유기, 발육기, 노년기",NULL,24,1
비키츄어블정,대웅제약,"다음 경우의 보조요법제 : 영양보급, 발육촉진, 허약증세, 육체피로, 비타민 결핍증의 예방 및 치료, 병후 회복기",NULL,25,1
타이레놀8시간이알서방정,한국얀센,"해열 및 감기에 의한 동통(통증)과 두통, 치통, 근육통, 허리동통(통증), 생리통, 관절통의 완화",NULL,26,29
니코스탑-10패취,삼양바이오팜,"금연시 보조요법제",NULL,27,10
니코스탑트로키,삼양바이오팜,"금연보조제로서 니코틴의존증에 있어 니코틴금단증상의 완화",NULL,28,6
미란타에이정,대웅제약,"위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 식체(위체), 구역, 구토, 위통, 신트림",NULL,29,2
